Price,Year,Model,Body,Series:,Mileage,Power,Cylinder Capacity,Steering,Transmission,Drive,Fuel,Interior Material,Interior Color,Exterior Color,Condition,New / Used,Ready to Drive,Location
"CHF 174,900",1993,964 Carrera 2 Speedster,Cabriolet,964,103600 km,250 HP,"3,6 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,Black,#N/A,Used car,yes,Switzerland
"EUR 57,900",2011,997.2 Carrera,Cabriolet,997,94746 km,345 HP,"3,6 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Grey,#N/A,Used car,yes,Germany
"EUR 64,900",1974,911,Targa,911 G-Model,70002 km,150 HP,"2,7 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,Yellow/Gold,#N/A,Used car,yes,Germany
"EUR 119,900",1992,964 Carrera 4,Coupé,964,53298 km,250 HP,"3,6 Liter",left,Manual,Four-wheel drive,Gasoline,Leather,Grey,Green,#N/A,Used car,yes,Netherlands
"EUR 64,800",1995,993 Carrera,Cabriolet,993,176640 km,272 HP,"3,6 Liter",left,Automatic,Rear drive,Gasoline,Leather,Blue,Blue,Accident-free,Used car,yes,Germany
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 119,800",1986,911 Carrera 3.2 WTL,Cabriolet,911 G-Model,152933 km,231 HP,"3,2 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,White,Accident-free,Used car,yes,Germany
"EUR 194,900",2023,992 Carrera 4S,Coupé,992,3142 km,450 HP,"3,0 Liter",left,PDK,Four-wheel drive,Gasoline,Two-tone Leather,Beige,Blue,Accident-free,Used car,yes,Netherlands
"EUR 115,900",2016,991.2 Carrera S,Coupé,991,28500 km,420 HP,2981 Liter,left,PDK,Rear drive,Gasoline,Leather,Black,White,Accident-free,Used car,yes,Germany
"EUR 99,911",2016,991.2 Carrera 4S,Coupé,991,82000 km,420 HP,3 Liter,left,PDK,Four-wheel drive,Gasoline,Leather,Black,Black,Accident-free,Used car,yes,Netherlands
"EUR 113,911",2017,991.2 Carrera 4S,Cabriolet,991,86000 km,420 HP,3 Liter,left,PDK,Four-wheel drive,Gasoline,Leather,Black,Grey,Accident-free,Used car,yes,Netherlands
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 104,911",2017,991.2 Carrera 4S,Coupé,991,62000 km,420 HP,3 Liter,left,PDK,Four-wheel drive,Gasoline,Leather,Black,Black,Accident-free,Used car,yes,Netherlands
